"function";"size";"times tested";"graph size";"CPU";"GPU";"factor";"maxdeviation";"stddeviation";"average"
Transfer;64;1000;1;0,000500000023748726;2,30999994277954;0,000250682642217726;0;0;0
Transfer;64;1000;2;0,00039999998989515;2,05200004577637;0,0002361046790611;0;0;0
Transfer;64;1000;25;0,000600000028498471;2,04080009460449;0,000306251604342833;0;0;0
Transfer;64;1000;50;0,000600000028498471;2,06550002098084;0,000296088517643511;0;0;0
Transfer;64;1000;100;0,000500000023748726;2,05960011482239;0,000273640296654776;0;0;0
Transfer;64;1000;200;0,000500000023748726;2,05640006065369;0,00027177736046724;0;0;0
Transfer;64;1000;300;0,000500000023748726;2,06360006332397;0,000267824507318437;0;0;0
Transfer;64;1000;400;0,000500000023748726;2,08159995079041;0,000273965997621417;0;0;0
Transfer;64;1000;500;0,000500000023748726;2,09419989585876;0,000276906008366495;0;0;0
Transfer;64;1000;600;0,000500000023748726;2,06809997558594;0,000283677334664389;0;0;0
Transfer;64;1000;700;0,000500000023748726;2,07750010490417;0,000274500402156264;0;0;0
Transfer;64;1000;800;0,000500000023748726;2,11459994316101;0,000280996668152511;0;0;0
Transfer;64;1000;900;0,000500000023748726;2,06030011177063;0,00027777292416431;0;0;0
Transfer;64;1000;1000;0,000600000028498471;2,11529994010925;0,000316686811856925;0;0;0
ManyAddReuse;64;1000;1;0,00939999986439943;2,15739989280701;0,00439246138557792;792,6138;193,5561;305,8024
ManyAddReuse;64;1000;2;0,0197000000625849;2,1923999786377;0,00902398023754358;NaN;NaN;NaN
ManyAddReuse;64;1000;25;0,238000005483627;2,53559994697571;0,0938761159777641;NaN;NaN;NaN
ManyAddReuse;64;1000;50;0,47859999537468;3,15610003471375;0,151648879051208;NaN;NaN;NaN
ManyAddReuse;64;1000;100;0,950100004673004;4,24009990692139;0,224094718694687;NaN;NaN;NaN
ManyAddReuse;64;1000;200;1,9025000333786;6,74160003662109;0,282206177711487;NaN;NaN;NaN
ManyAddReuse;64;1000;300;2,85339999198914;9,51980018615723;0,299737066030502;NaN;NaN;NaN
ManyAddReuse;64;1000;400;3,80780005455017;13,1246004104614;0,290128976106644;NaN;NaN;NaN
ManyAddReuse;64;1000;500;4,75890016555786;17,2168006896973;0,276411473751068;NaN;NaN;NaN
ManyAddReuse;64;1000;600;5,7217001914978;21,9106998443604;0,26113960146904;NaN;NaN;NaN
ManyAddReuse;64;1000;700;6,67309999465942;26,9193000793457;0,247892782092094;NaN;NaN;NaN
ManyAddReuse;64;1000;800;7,62890005111694;33,1991996765137;0,229791924357414;NaN;NaN;NaN
ManyAddReuse;64;1000;900;8,59360027313232;39,2598991394043;0,218891456723213;NaN;NaN;NaN
ManyAddReuse;64;1000;1000;9,54409980773926;46,4986000061035;0,205257132649422;NaN;NaN;NaN
ManySubReuse;64;1000;1;0,0109999999403954;35,5318984985352;0,000311705487547442;NaN;NaN;NaN
ManySubReuse;64;1000;2;0,0206000003963709;35,6161994934082;0,000581040803808719;NaN;NaN;NaN
ManySubReuse;64;1000;25;0,24719999730587;35,8434982299805;0,00689745601266623;NaN;NaN;NaN
ManySubReuse;64;1000;50;0,496300011873245;36,4220008850098;0,0136264273896813;NaN;NaN;NaN
ManySubReuse;64;1000;100;0,986800014972687;37,2683982849121;0,0264793857932091;NaN;NaN;NaN
ManySubReuse;64;1000;200;1,9728000164032;39,2564010620117;0,050255861133337;NaN;NaN;NaN
ManySubReuse;64;1000;300;2,95670008659363;41,8959007263184;0,0705734342336655;NaN;NaN;NaN
ManySubReuse;64;1000;400;3,95530009269714;45,0271987915039;0,0878440290689468;NaN;NaN;NaN
ManySubReuse;64;1000;500;4,95800018310547;49,1647987365723;0,100846208631992;NaN;NaN;NaN
ManySubReuse;64;1000;600;5,96829986572266;53,6286010742188;0,111290365457535;NaN;NaN;NaN
ManySubReuse;64;1000;700;6,93919992446899;58,7619018554688;0,118090607225895;NaN;NaN;NaN
ManySubReuse;64;1000;800;7,91919994354248;64,85009765625;0,122115693986416;NaN;NaN;NaN
ManySubReuse;64;1000;900;8,94089984893799;72,1190032958984;0,123974598944187;NaN;NaN;NaN
ManySubReuse;64;1000;1000;10,0945997238159;93,1168975830078;0,108408607542515;NaN;NaN;NaN
Simple Graph;64;1000;1;0,035300001502037;70,1371002197266;0,000504593015648425;NaN;NaN;NaN
Simple Graph;64;1000;2;0,0644000023603439;69,2516021728516;0,000930292590055615;NaN;NaN;NaN
Simple Graph;64;1000;25;0,740899980068207;69,215202331543;0,0107053006067872;NaN;NaN;NaN
Simple Graph;64;1000;50;1,52450001239777;69,2002029418945;0,0220314599573612;NaN;NaN;NaN
Simple Graph;64;1000;100;2,95600008964539;69,3127975463867;0,0426482036709785;NaN;NaN;NaN
Simple Graph;64;1000;200;5,95620012283325;69,6313018798828;0,0855401307344437;NaN;NaN;NaN
Simple Graph;64;1000;300;8,94499969482422;70,2494964599609;0,127332836389542;NaN;NaN;NaN
Simple Graph;64;1000;400;11,8950004577637;71,5378036499023;0,166276931762695;NaN;NaN;NaN
Simple Graph;64;1000;500;14,9558000564575;73,4701995849609;0,203563809394836;NaN;NaN;NaN
Simple Graph;64;1000;600;17,7080001831055;76,152099609375;0,23253458738327;NaN;NaN;NaN
Simple Graph;64;1000;700;20,753999710083;78,8705978393555;0,263140499591827;NaN;NaN;NaN
Simple Graph;64;1000;800;23,6280994415283;82,7413024902344;0,285566240549088;NaN;NaN;NaN
Simple Graph;64;1000;900;26,8085994720459;87,0851974487305;0,307843327522278;NaN;NaN;NaN
Simple Graph;64;1000;1000;30,0482997894287;91,7548980712891;0,327484309673309;NaN;NaN;NaN
Transfer;256;1000;1;0,000699999975040555;102,556396484375;7,60751981943031E-06;0;0;0
Transfer;256;1000;2;0,000699999975040555;102,756896972656;7,58878377382644E-06;0;0;0
Transfer;256;1000;25;0,000699999975040555;102,755798339844;7,77084460423794E-06;0;0;0
Transfer;256;1000;50;0,0007999999797903;102,937103271484;8,10397523309803E-06;0;0;0
Transfer;256;1000;100;0,0007999999797903;102,577598571777;8,04366572992876E-06;0;0;0
Transfer;256;1000;200;0,000699999975040555;102,814399719238;7,7177837738418E-06;0;0;0
Transfer;256;1000;300;0,0007999999797903;102,790000915527;7,83149334893096E-06;0;0;0
Transfer;256;1000;400;0,0007999999797903;102,618301391602;8,10186429589521E-06;0;0;0
Transfer;256;1000;500;0,0007999999797903;102,791900634766;7,86540113040246E-06;0;0;0
Transfer;256;1000;600;0,0007999999797903;102,661598205566;7,8938928709249E-06;0;0;0
Transfer;256;1000;700;0,0007999999797903;102,783996582031;7,82903953222558E-06;0;0;0
Transfer;256;1000;800;0,0007999999797903;102,847099304199;7,8893799582147E-06;0;0;0
Transfer;256;1000;900;0,000699999975040555;102,74169921875;7,46726345823845E-06;0;0;0
Transfer;256;1000;1000;0,000699999975040555;102,666801452637;7,41913936508354E-06;0;0;0
ManyAddReuse;256;1000;1;0,0348999984562397;103,298400878906;0,000338345882482827;950,3059;233,5755;319,0233
ManyAddReuse;256;1000;2;0,0776999965310097;103,382698059082;0,000751662766560912;NaN;NaN;NaN
ManyAddReuse;256;1000;25;0,952499985694885;103,462600708008;0,00920636299997568;NaN;NaN;NaN
ManyAddReuse;256;1000;50;1,91139996051788;103,887702941895;0,0183993224054575;NaN;NaN;NaN
ManyAddReuse;256;1000;100;3,84619998931885;104,451103210449;0,0368230640888214;NaN;NaN;NaN
ManyAddReuse;256;1000;200;7,68919992446899;105,290496826172;0,073028951883316;NaN;NaN;NaN
ManyAddReuse;256;1000;300;11,4829998016357;107,805999755859;0,106515750288963;NaN;NaN;NaN
ManyAddReuse;256;1000;400;15,3579998016357;109,502799987793;0,140252187848091;NaN;NaN;NaN
ManyAddReuse;256;1000;500;19,1187992095947;112,521797180176;0,169912174344063;NaN;NaN;NaN
ManyAddReuse;256;1000;600;22,9571990966797;115,987297058105;0,197929292917252;NaN;NaN;NaN
ManyAddReuse;256;1000;700;26,8437004089355;120,626998901367;0,222535282373428;NaN;NaN;NaN
ManyAddReuse;256;1000;800;30,5981006622314;125,691902160645;0,243437513709068;NaN;NaN;NaN
ManyAddReuse;256;1000;900;34,4836006164551;131,092803955078;0,263047277927399;NaN;NaN;NaN
ManyAddReuse;256;1000;1000;38,0522994995117;138,588500976563;0,27457070350647;NaN;NaN;NaN
ManySubReuse;256;1000;1;0,0406000018119812;137,887405395508;0,000294491735985503;NaN;NaN;NaN
ManySubReuse;256;1000;2;0,0799999982118607;137,645492553711;0,000581748550757766;NaN;NaN;NaN
ManySubReuse;256;1000;25;0,983399987220764;137,880493164063;0,00713271787390113;NaN;NaN;NaN
ManySubReuse;256;1000;50;1,97529995441437;139,393493652344;0,0141709111630917;NaN;NaN;NaN
ManySubReuse;256;1000;100;3,9935998916626;138,678100585938;0,0287977065891027;NaN;NaN;NaN
ManySubReuse;256;1000;200;7,94290018081665;139,304397583008;0,0570188388228416;NaN;NaN;NaN
ManySubReuse;256;1000;300;11,9331998825073;142,127197265625;0,0839619860053062;NaN;NaN;NaN
ManySubReuse;256;1000;400;15,9366998672485;144,885498046875;0,109995126724243;NaN;NaN;NaN
ManySubReuse;256;1000;500;19,7397003173828;146,674301147461;0,134582102298737;NaN;NaN;NaN
ManySubReuse;256;1000;600;23,5825004577637;149,816299438477;0,157409399747849;NaN;NaN;NaN
ManySubReuse;256;1000;700;27,5142002105713;154,131698608398;0,178511559963226;NaN;NaN;NaN
ManySubReuse;256;1000;800;31,4365997314453;159,408599853516;0,197208032011986;NaN;NaN;NaN
ManySubReuse;256;1000;900;35,6827011108398;164,685806274414;0,216671645641327;NaN;NaN;NaN
ManySubReuse;256;1000;1000;39,5512008666992;170,524703979492;0,231938540935516;NaN;NaN;NaN
Simple Graph;256;1000;1;0,12890000641346;172,545806884766;0,000747315585613251;NaN;NaN;NaN
Simple Graph;256;1000;2;0,24940000474453;172,28840637207;0,00144792255014181;NaN;NaN;NaN
Simple Graph;256;1000;25;2,89409995079041;171,630294799805;0,0168624687939882;NaN;NaN;NaN
Simple Graph;256;1000;50;5,80989980697632;171,096206665039;0,0339572355151176;NaN;NaN;NaN
Simple Graph;256;1000;100;11,586799621582;169,552001953125;0,0683379247784615;NaN;NaN;NaN
Simple Graph;256;1000;200;23,0564994812012;166,812606811523;0,138218075037003;NaN;NaN;NaN
Simple Graph;256;1000;300;34,6039009094238;164,486206054688;0,210376054048538;NaN;NaN;NaN
Simple Graph;256;1000;400;46,1907005310059;162,88639831543;0,283576250076294;NaN;NaN;NaN
Simple Graph;256;1000;500;57,6171989440918;161,955795288086;0,355759233236313;NaN;NaN;NaN
Simple Graph;256;1000;600;68,8248977661133;162,589797973633;0,423304319381714;NaN;NaN;NaN
Simple Graph;256;1000;700;80,0921020507813;166,115997314453;0,482145994901657;NaN;NaN;NaN
Simple Graph;256;1000;800;91,4360961914063;170,127197265625;0,537457287311554;NaN;NaN;NaN
Simple Graph;256;1000;900;103,033699035645;174,659805297852;0,589910745620728;NaN;NaN;NaN
Simple Graph;256;1000;1000;114,205703735352;179,319305419922;0,636884570121765;NaN;NaN;NaN
Transfer;1024;1000;1;0,000699999975040555;205,216201782227;3,59523141924001E-06;0;0;0
Transfer;1024;1000;2;0,000699999975040555;205,289703369141;3,61391653314058E-06;0;0;0
Transfer;1024;1000;25;0,000699999975040555;205,501998901367;3,83159203920513E-06;0;0;0
Transfer;1024;1000;50;0,0007999999797903;205,4375;3,93550271837739E-06;0;0;0
Transfer;1024;1000;100;0,0007999999797903;205,32780456543;4,14751320931828E-06;0;0;0
Transfer;1024;1000;200;0,0007999999797903;205,059997558594;4,06368781113997E-06;0;0;0
Transfer;1024;1000;300;0,0007999999797903;205,244995117188;4,23396386395325E-06;0;0;0
Transfer;1024;1000;400;0,0007999999797903;205,683395385742;4,30807676821132E-06;0;0;0
Transfer;1024;1000;500;0,0007999999797903;205,751602172852;4,07092784371343E-06;0;0;0
Transfer;1024;1000;600;0,0007999999797903;205,852401733398;4,12188364862232E-06;0;0;0
Transfer;1024;1000;700;0,0007999999797903;205,9248046875;4,09615404350916E-06;0;0;0
Transfer;1024;1000;800;0,0007999999797903;205,945297241211;4,03505055146525E-06;0;0;0
Transfer;1024;1000;900;0,0007999999797903;206,752899169922;4,2171100176347E-06;0;0;0
Transfer;1024;1000;1000;0,0007999999797903;205,844192504883;4,20220703745144E-06;0;0;0
ManyAddReuse;1024;1000;1;0,137899994850159;206,135299682617;0,000669074011966586;989,6384;244,6332;349,5408
ManyAddReuse;1024;1000;2;0,307099997997284;205,891098022461;0,00149204605259001;NaN;NaN;NaN
ManyAddReuse;1024;1000;25;3,8585000038147;204,906692504883;0,0188308730721474;NaN;NaN;NaN
ManyAddReuse;1024;1000;50;7,65570020675659;204,548904418945;0,0374273620545864;NaN;NaN;NaN
ManyAddReuse;1024;1000;100;15,4007997512817;202,718200683594;0,0759719461202621;NaN;NaN;NaN
ManyAddReuse;1024;1000;200;30,5466995239258;199,540603637695;0,153085350990295;NaN;NaN;NaN
ManyAddReuse;1024;1000;300;45,8251991271973;197,330200195313;0,232226386666298;NaN;NaN;NaN
ManyAddReuse;1024;1000;400;61,0868988037109;195,328796386719;0,312738925218582;NaN;NaN;NaN
ManyAddReuse;1024;1000;500;75,9753036499023;195,240905761719;0,389136075973511;NaN;NaN;NaN
ManyAddReuse;1024;1000;600;91,0394973754883;199,937805175781;0,455339312553406;NaN;NaN;NaN
ManyAddReuse;1024;1000;700;106,42960357666;204,120895385742;0,521404683589935;NaN;NaN;NaN
ManyAddReuse;1024;1000;800;121,650802612305;209,969802856445;0,579373180866241;NaN;NaN;NaN
ManyAddReuse;1024;1000;900;136,645401000977;216,075103759766;0,632397830486298;NaN;NaN;NaN
ManyAddReuse;1024;1000;1000;151,926696777344;224,591400146484;0,676458239555359;NaN;NaN;NaN
ManySubReuse;1024;1000;1;0,162699997425079;240,011505126953;0,0006780558032915;NaN;NaN;NaN
ManySubReuse;1024;1000;2;0,318699985742569;240,283599853516;0,00132649869192392;NaN;NaN;NaN
ManySubReuse;1024;1000;25;3,99000000953674;239,305404663086;0,0166733767837286;NaN;NaN;NaN
ManySubReuse;1024;1000;50;7,91359996795654;238,757507324219;0,0331451222300529;NaN;NaN;NaN
ManySubReuse;1024;1000;100;15,7658004760742;236,157592773438;0,0667599961161613;NaN;NaN;NaN
ManySubReuse;1024;1000;200;31,5165004730225;233,409194946289;0,135027125477791;NaN;NaN;NaN
ManySubReuse;1024;1000;300;47,3758010864258;230,668899536133;0,205384835600853;NaN;NaN;NaN
ManySubReuse;1024;1000;400;63,0245018005371;228,035903930664;0,276379734277725;NaN;NaN;NaN
ManySubReuse;1024;1000;500;78,8498992919922;226,516296386719;0,348098158836365;NaN;NaN;NaN
ManySubReuse;1024;1000;600;94,4602966308594;227,62890625;0,41497528553009;NaN;NaN;NaN
ManySubReuse;1024;1000;700;110,066802978516;232,664306640625;0,473071336746216;NaN;NaN;NaN
ManySubReuse;1024;1000;800;125,644599914551;238,524200439453;0,526758432388306;NaN;NaN;NaN
ManySubReuse;1024;1000;900;141,593505859375;245,524597167969;0,576698124408722;NaN;NaN;NaN
